,narrative
4306,revising memorandum re: motion to strike
4307,revising notice of motion re: summary judgment
4308,preparing order re: enforcing foreign judgment
4309,writing memorandum re: injunction
4310,proofing factum re: refusals
4311,revising affidavit re: enforcing foreign judgment
4312,briefing compendium re: disqualifying expert
4313,researching factum re: refusals
4314,revising memo re: refusals
4315,editing compendium re: summary judgment
4316,writing order re: motion to strike
4317,reviewing affidavit re: refusals
4318,proofing factum re: summary judgment
4319,briefing order re: refusals
4320,analyzing factum re: motion to strike
4321,proofing memo re: disqualifying expert
4322,analyzing order re: summary judgment
4323,drafting order re: disqualifying expert
4324,reviewing affidavit re: motion to strike
4325,briefing compendium re: motion to strike
4326,proofing analysis re: refusals
4327,writing order re: summary judgment
4328,revising notice of motion re: disqualifying expert
4329,briefing compendium re: disqualifying expert
4330,reviewing memorandum re: enforcing foreign judgment
4331,researching book of authority re: enforcing foreign judgment
4332,writing compendium re: refusals
4333,revising book of authority re: refusals
4334,analyzing notice of motion re: refusals
4335,proofing memo re: enforcing foreign judgment
4336,revising affidavit re: motion to strike
4337,briefing affidavit re: summary judgment
4338,proofing compendium re: motion to strike
4339,writing memo re: injunction
4340,editing affidavit re: motion to strike
4341,revising memorandum re: injunction
4342,writing motion record re: motion to strike
4343,drafting factum re: summary judgment
4344,researching order re: enforcing foreign judgment
4345,editing book of authority re: injunction
4346,researching memorandum re: enforcing foreign judgment
4347,analyzing order re: enforcing foreign judgment
4348,preparing affidavit re: injunction
4349,analyzing memorandum re: refusals
4350,proofing compendium re: enforcing foreign judgment
4351,reviewing notice of motion re: motion to strike
4352,revising factum re: injunction
4353,briefing book of authority re: refusals
4354,reviewing book of authority re: refusals
4355,preparing notice of motion re: disqualifying expert
4356,preparing affidavit re: injunction
4357,writing book of authority re: enforcing foreign judgment
4358,preparing memorandum re: motion to strike
4359,revising compendium re: enforcing foreign judgment
4360,briefing memo re: summary judgment
4361,reviewing analysis re: injunction
4362,proofing motion record re: injunction
4363,reviewing memorandum re: summary judgment
4364,researching compendium re: refusals
4365,preparing order re: refusals
4366,researching compendium re: summary judgment
4367,preparing book of authority re: enforcing foreign judgment
4368,writing memo re: enforcing foreign judgment
4369,researching factum re: enforcing foreign judgment
4370,editing notice of motion re: enforcing foreign judgment
4371,proofing motion record re: summary judgment
4372,writing book of authority re: injunction
4373,briefing analysis re: refusals
4374,analyzing motion record re: disqualifying expert
4375,revising analysis re: injunction
4376,drafting analysis re: refusals
4377,writing memorandum re: summary judgment
4378,editing affidavit re: enforcing foreign judgment
4379,writing memorandum re: refusals
4380,editing factum re: motion to strike
4381,researching motion record re: enforcing foreign judgment
4382,revising memorandum re: refusals
4383,analyzing factum re: enforcing foreign judgment
4384,analyzing factum re: motion to strike
4385,briefing order re: injunction
4386,reviewing motion record re: disqualifying expert
4387,researching memo re: motion to strike
4388,researching compendium re: summary judgment
4389,editing motion record re: enforcing foreign judgment
4390,analyzing motion record re: summary judgment
4391,briefing factum re: motion to strike
4392,reviewing analysis re: enforcing foreign judgment
4393,editing motion record re: motion to strike
4394,briefing analysis re: disqualifying expert
4395,briefing order re: motion to strike
4396,analyzing analysis re: refusals
4397,researching analysis re: refusals
4398,researching analysis re: summary judgment
4399,revising order re: injunction
4400,researching memo re: enforcing foreign judgment
4401,editing order re: injunction
4402,proofing motion record re: enforcing foreign judgment
4403,reviewing compendium re: motion to strike
4404,revising factum re: refusals
4405,writing compendium re: summary judgment
4406,editing memorandum re: motion to strike
4407,reviewing affidavit re: summary judgment
4408,researching book of authority re: summary judgment
4409,proofing book of authority re: summary judgment
4410,preparing analysis re: refusals
4411,drafting motion record re: summary judgment
4412,drafting notice of motion re: injunction
4413,researching memo re: summary judgment
4414,editing affidavit re: injunction
4415,researching memorandum re: summary judgment
4416,drafting memorandum re: summary judgment
4417,editing analysis re: injunction
4418,writing notice of motion re: injunction
4419,proofing memorandum re: summary judgment
4420,drafting notice of motion re: motion to strike
4421,preparing memorandum re: injunction
4422,revising memo re: enforcing foreign judgment
4423,reviewing notice of motion re: injunction
4424,editing compendium re: motion to strike
4425,briefing order re: injunction
4426,reviewing motion record re: enforcing foreign judgment
4427,drafting notice of motion re: injunction
4428,revising compendium re: refusals
4429,revising memorandum re: enforcing foreign judgment
4430,proofing compendium re: motion to strike
4431,researching affidavit re: summary judgment
4432,preparing factum re: summary judgment
4433,researching compendium re: motion to strike
4434,preparing memo re: disqualifying expert
4435,drafting analysis re: disqualifying expert
4436,revising affidavit re: enforcing foreign judgment
4437,reviewing compendium re: disqualifying expert
4438,reviewing book of authority re: injunction
4439,analyzing notice of motion re: motion to strike
4440,preparing order re: disqualifying expert
4441,editing memo re: injunction
4442,preparing analysis re: disqualifying expert
4443,writing memo re: disqualifying expert
4444,briefing notice of motion re: summary judgment
4445,briefing motion record re: disqualifying expert
4446,researching notice of motion re: injunction
4447,reviewing notice of motion re: injunction
4448,analyzing memorandum re: motion to strike
4449,revising book of authority re: refusals
4450,briefing order re: disqualifying expert
4451,proofing affidavit re: refusals
4452,researching factum re: refusals
4453,reviewing affidavit re: injunction
4454,researching factum re: enforcing foreign judgment
4455,editing motion record re: injunction
4456,writing analysis re: motion to strike
4457,briefing motion record re: enforcing foreign judgment
4458,reviewing motion record re: motion to strike
4459,briefing memo re: injunction
4460,drafting affidavit re: enforcing foreign judgment
4461,reviewing memo re: injunction
4462,editing analysis re: enforcing foreign judgment
4463,revising analysis re: disqualifying expert
4464,briefing book of authority re: motion to strike
4465,revising motion record re: disqualifying expert
4466,researching book of authority re: motion to strike
4467,editing motion record re: refusals
4468,researching motion record re: summary judgment
4469,preparing order re: disqualifying expert
4470,preparing affidavit re: summary judgment
4471,drafting factum re: summary judgment
4472,preparing compendium re: refusals
4473,writing notice of motion re: disqualifying expert
4474,editing compendium re: summary judgment
4475,analyzing compendium re: disqualifying expert
4476,researching compendium re: injunction
4477,researching notice of motion re: enforcing foreign judgment
4478,researching factum re: motion to strike
4479,reviewing affidavit re: injunction
4480,researching compendium re: motion to strike
4481,editing factum re: motion to strike
4482,analyzing notice of motion re: motion to strike
4483,preparing notice of motion re: injunction
4484,proofing book of authority re: summary judgment
4485,reviewing factum re: injunction
4486,editing notice of motion re: enforcing foreign judgment
4487,researching order re: refusals
4488,revising compendium re: enforcing foreign judgment
4489,revising memo re: summary judgment
4490,briefing memo re: motion to strike
4491,drafting memorandum re: injunction
4492,preparing order re: summary judgment
4493,researching order re: refusals
4494,researching motion record re: motion to strike
4495,editing analysis re: refusals
4496,analyzing affidavit re: injunction
4497,analyzing book of authority re: summary judgment
4498,revising factum re: injunction
4499,analyzing factum re: summary judgment
4500,proofing compendium re: disqualifying expert
4501,researching book of authority re: refusals
4502,analyzing notice of motion re: motion to strike
4503,researching memo re: injunction
4504,researching compendium re: injunction
4505,editing motion record re: injunction
4506,proofing factum re: summary judgment
4507,editing order re: motion to strike
4508,briefing motion record re: injunction
4509,analyzing notice of motion re: injunction
4510,reviewing notice of motion re: refusals
4511,revising motion record re: summary judgment
4512,preparing notice of motion re: injunction
4513,drafting notice of motion re: enforcing foreign judgment
4514,reviewing order re: disqualifying expert
4515,drafting book of authority re: injunction
4516,preparing factum re: enforcing foreign judgment
4517,briefing motion record re: refusals
4518,writing motion record re: motion to strike
4519,reviewing analysis re: enforcing foreign judgment
4520,editing motion record re: disqualifying expert
4521,reviewing factum re: disqualifying expert
4522,revising factum re: refusals
4523,editing motion record re: enforcing foreign judgment
4524,writing book of authority re: injunction
4525,preparing analysis re: summary judgment
4526,analyzing book of authority re: injunction
4527,briefing motion record re: summary judgment
4528,drafting memo re: disqualifying expert
4529,writing analysis re: refusals
4530,drafting book of authority re: refusals
4531,briefing motion record re: motion to strike
4532,analyzing order re: enforcing foreign judgment
4533,proofing order re: injunction
4534,analyzing memorandum re: injunction
4535,writing notice of motion re: enforcing foreign judgment
4536,writing memo re: injunction
4537,reviewing memo re: refusals
4538,editing affidavit re: summary judgment
4539,analyzing analysis re: disqualifying expert
4540,revising analysis re: refusals
4541,preparing motion record re: summary judgment
4542,preparing memorandum re: motion to strike
4543,drafting compendium re: enforcing foreign judgment
4544,preparing order re: summary judgment
4545,proofing notice of motion re: injunction
4546,editing factum re: summary judgment
4547,preparing affidavit re: motion to strike
4548,briefing notice of motion re: disqualifying expert
4549,editing book of authority re: enforcing foreign judgment
4550,writing notice of motion re: refusals
4551,revising memorandum re: disqualifying expert
4552,writing factum re: injunction
4553,editing analysis re: summary judgment
4554,writing memo re: refusals
4555,revising analysis re: refusals
4556,proofing affidavit re: motion to strike
4557,reviewing memorandum re: refusals
4558,analyzing memorandum re: enforcing foreign judgment
4559,revising compendium re: disqualifying expert
4560,editing memorandum re: injunction
4561,revising order re: enforcing foreign judgment
4562,proofing book of authority re: enforcing foreign judgment
4563,analyzing notice of motion re: disqualifying expert
4564,editing memo re: refusals
4565,briefing memo re: enforcing foreign judgment
4566,briefing compendium re: refusals
4567,researching memorandum re: injunction
4568,researching analysis re: motion to strike
4569,revising analysis re: disqualifying expert
4570,preparing affidavit re: injunction
4571,analyzing factum re: refusals
4572,preparing affidavit re: disqualifying expert
4573,drafting motion record re: refusals
4574,briefing order re: injunction
4575,proofing compendium re: enforcing foreign judgment
4576,writing analysis re: motion to strike
4577,editing order re: motion to strike
4578,analyzing memorandum re: motion to strike
4579,proofing notice of motion re: injunction
4580,preparing affidavit re: motion to strike
4581,preparing motion record re: disqualifying expert
4582,researching book of authority re: motion to strike
4583,drafting motion record re: injunction
4584,preparing notice of motion re: motion to strike
4585,drafting book of authority re: enforcing foreign judgment
4586,proofing memo re: injunction
4587,briefing factum re: injunction
4588,writing compendium re: disqualifying expert
4589,proofing order re: disqualifying expert
4590,reviewing analysis re: enforcing foreign judgment
4591,preparing factum re: disqualifying expert
4592,reviewing memo re: disqualifying expert
4593,drafting book of authority re: injunction
4594,researching motion record re: summary judgment
4595,briefing compendium re: refusals
4596,writing notice of motion re: enforcing foreign judgment
4597,drafting motion record re: refusals
4598,preparing book of authority re: summary judgment
4599,writing memo re: injunction
4600,preparing memorandum re: summary judgment
4601,writing factum re: injunction
4602,reviewing memorandum re: refusals
4603,editing motion record re: summary judgment
4604,drafting notice of motion re: motion to strike
4605,briefing memorandum re: refusals
4606,researching analysis re: disqualifying expert
4607,revising notice of motion re: disqualifying expert
4608,proofing motion record re: injunction
4609,reviewing memorandum re: summary judgment
4610,analyzing analysis re: injunction
4611,writing notice of motion re: refusals
4612,analyzing compendium re: summary judgment
4613,proofing affidavit re: refusals
4614,editing motion record re: disqualifying expert
4615,revising order re: motion to strike
4616,analyzing affidavit re: summary judgment
4617,researching compendium re: summary judgment
4618,briefing affidavit re: disqualifying expert
4619,preparing analysis re: enforcing foreign judgment
4620,writing memo re: enforcing foreign judgment
4621,writing analysis re: injunction
4622,proofing compendium re: injunction
4623,writing compendium re: injunction
4624,revising order re: enforcing foreign judgment
4625,analyzing memo re: refusals
4626,briefing compendium re: injunction
4627,proofing analysis re: summary judgment
4628,briefing notice of motion re: injunction
4629,reviewing compendium re: motion to strike
4630,drafting motion record re: refusals
4631,reviewing motion record re: disqualifying expert
4632,reviewing motion record re: summary judgment
4633,writing book of authority re: disqualifying expert
4634,writing affidavit re: summary judgment
4635,writing compendium re: summary judgment
4636,editing motion record re: enforcing foreign judgment
4637,briefing factum re: refusals
4638,drafting order re: injunction
4639,analyzing motion record re: injunction
4640,editing book of authority re: motion to strike
4641,researching compendium re: disqualifying expert
4642,briefing book of authority re: injunction
4643,drafting factum re: injunction
4644,editing motion record re: motion to strike
4645,editing memo re: refusals
4646,drafting notice of motion re: enforcing foreign judgment
4647,writing motion record re: refusals
4648,revising book of authority re: enforcing foreign judgment
4649,editing compendium re: injunction
4650,proofing factum re: motion to strike
4651,writing notice of motion re: refusals
4652,drafting notice of motion re: disqualifying expert
4653,analyzing motion record re: enforcing foreign judgment
4654,revising order re: refusals
4655,editing factum re: injunction
4656,briefing book of authority re: disqualifying expert
4657,revising book of authority re: injunction
4658,proofing memorandum re: motion to strike
4659,editing compendium re: summary judgment
4660,writing compendium re: summary judgment
4661,drafting compendium re: disqualifying expert
4662,revising motion record re: refusals
4663,drafting notice of motion re: enforcing foreign judgment
4664,revising order re: refusals
4665,analyzing factum re: summary judgment
4666,reviewing memorandum re: summary judgment
4667,drafting notice of motion re: disqualifying expert
4668,editing memo re: enforcing foreign judgment
4669,briefing notice of motion re: enforcing foreign judgment
4670,revising memo re: disqualifying expert
4671,revising factum re: refusals
4672,proofing factum re: injunction
4673,briefing book of authority re: motion to strike
4674,researching memorandum re: injunction
4675,reviewing notice of motion re: motion to strike
4676,reviewing factum re: motion to strike
4677,drafting analysis re: summary judgment
4678,analyzing compendium re: summary judgment
4679,researching affidavit re: disqualifying expert
4680,proofing affidavit re: summary judgment
4681,drafting memo re: refusals
4682,preparing order re: summary judgment
4683,drafting motion record re: injunction
4684,analyzing book of authority re: summary judgment
4685,drafting memo re: motion to strike
4686,reviewing order re: refusals
4687,analyzing factum re: summary judgment
4688,reviewing motion record re: motion to strike
4689,preparing factum re: enforcing foreign judgment
4690,researching order re: refusals
4691,drafting motion record re: disqualifying expert
4692,analyzing memo re: summary judgment
4693,drafting order re: motion to strike
4694,proofing notice of motion re: summary judgment
4695,revising compendium re: motion to strike
4696,preparing book of authority re: disqualifying expert
4697,analyzing order re: disqualifying expert
4698,drafting analysis re: injunction
4699,briefing notice of motion re: enforcing foreign judgment
4700,analyzing factum re: summary judgment
4701,reviewing analysis re: summary judgment
4702,drafting memo re: enforcing foreign judgment
4703,proofing memorandum re: summary judgment
4704,writing affidavit re: motion to strike
4705,writing book of authority re: enforcing foreign judgment
4706,editing memo re: enforcing foreign judgment
4707,proofing compendium re: injunction
4708,reviewing compendium re: motion to strike
4709,writing affidavit re: enforcing foreign judgment
4710,briefing affidavit re: enforcing foreign judgment
4711,drafting factum re: enforcing foreign judgment
4712,researching memo re: disqualifying expert
4713,proofing factum re: disqualifying expert
4714,drafting notice of motion re: disqualifying expert
4715,reviewing memorandum re: enforcing foreign judgment
4716,reviewing compendium re: motion to strike
4717,writing notice of motion re: summary judgment
4718,editing memorandum re: summary judgment
4719,proofing book of authority re: disqualifying expert
4720,writing analysis re: refusals
4721,briefing compendium re: refusals
4722,drafting memorandum re: motion to strike
4723,drafting memo re: injunction
4724,preparing notice of motion re: refusals
4725,preparing order re: injunction
4726,researching compendium re: motion to strike
4727,analyzing order re: summary judgment
4728,analyzing order re: injunction
4729,editing motion record re: motion to strike
4730,reviewing affidavit re: injunction
4731,proofing memo re: enforcing foreign judgment
4732,preparing analysis re: enforcing foreign judgment
4733,drafting compendium re: enforcing foreign judgment
4734,editing memorandum re: enforcing foreign judgment
4735,reviewing affidavit re: summary judgment
4736,writing memorandum re: motion to strike
4737,briefing motion record re: injunction
4738,analyzing book of authority re: motion to strike
4739,reviewing memo re: disqualifying expert
4740,preparing order re: injunction
4741,drafting memorandum re: disqualifying expert
4742,analyzing order re: motion to strike
4743,reviewing notice of motion re: injunction
4744,analyzing affidavit re: enforcing foreign judgment
4745,revising notice of motion re: disqualifying expert
4746,drafting factum re: disqualifying expert
4747,proofing memorandum re: enforcing foreign judgment
4748,drafting motion record re: enforcing foreign judgment
4749,briefing memorandum re: enforcing foreign judgment
4750,drafting compendium re: motion to strike
4751,revising memorandum re: injunction
4752,briefing compendium re: refusals
4753,briefing memorandum re: refusals
4754,proofing affidavit re: refusals
4755,proofing memorandum re: injunction
4756,briefing memo re: injunction
4757,proofing book of authority re: refusals
4758,briefing order re: summary judgment
4759,researching book of authority re: injunction
4760,drafting book of authority re: disqualifying expert
4761,analyzing notice of motion re: enforcing foreign judgment
4762,drafting motion record re: summary judgment
4763,reviewing motion record re: injunction
4764,analyzing factum re: disqualifying expert
4765,briefing compendium re: motion to strike
4766,analyzing book of authority re: disqualifying expert
4767,researching compendium re: motion to strike
4768,writing motion record re: summary judgment
4769,writing affidavit re: summary judgment
4770,briefing order re: disqualifying expert
4771,editing memorandum re: summary judgment
4772,reviewing memorandum re: enforcing foreign judgment
4773,analyzing motion record re: refusals
4774,preparing compendium re: injunction
4775,writing factum re: disqualifying expert
4776,analyzing memorandum re: enforcing foreign judgment
4777,preparing factum re: refusals
4778,analyzing affidavit re: disqualifying expert
4779,reviewing memorandum re: disqualifying expert
4780,researching factum re: enforcing foreign judgment
4781,writing factum re: injunction
4782,researching affidavit re: summary judgment
4783,analyzing memorandum re: summary judgment
4784,preparing affidavit re: motion to strike
4785,writing affidavit re: enforcing foreign judgment
4786,reviewing factum re: motion to strike
4787,editing book of authority re: disqualifying expert
4788,proofing motion record re: injunction
4789,revising motion record re: disqualifying expert
4790,preparing analysis re: refusals
4791,briefing notice of motion re: summary judgment
4792,briefing notice of motion re: summary judgment
4793,drafting factum re: disqualifying expert
4794,preparing factum re: injunction
4795,editing notice of motion re: motion to strike
4796,editing notice of motion re: injunction
4797,revising book of authority re: injunction
4798,drafting compendium re: disqualifying expert
4799,researching analysis re: enforcing foreign judgment
4800,briefing notice of motion re: enforcing foreign judgment
4801,proofing compendium re: summary judgment
4802,proofing factum re: motion to strike
4803,preparing notice of motion re: injunction
4804,revising compendium re: injunction
4805,editing compendium re: injunction
4806,briefing motion record re: motion to strike
4807,reviewing factum re: refusals
4808,writing notice of motion re: enforcing foreign judgment
4809,drafting analysis re: summary judgment
4810,researching compendium re: injunction
4811,briefing book of authority re: disqualifying expert
4812,proofing book of authority re: enforcing foreign judgment
4813,proofing memo re: enforcing foreign judgment
4814,proofing compendium re: refusals
4815,editing analysis re: enforcing foreign judgment
4816,reviewing compendium re: motion to strike
4817,writing book of authority re: motion to strike
4818,drafting analysis re: disqualifying expert
4819,revising notice of motion re: disqualifying expert
4820,preparing motion record re: injunction
4821,briefing book of authority re: disqualifying expert
4822,briefing memorandum re: injunction
4823,reviewing compendium re: injunction
4824,briefing order re: refusals
4825,preparing motion record re: disqualifying expert
4826,analyzing analysis re: injunction
4827,researching factum re: enforcing foreign judgment
4828,editing analysis re: summary judgment
4829,briefing book of authority re: disqualifying expert
4830,preparing memo re: disqualifying expert
4831,briefing affidavit re: disqualifying expert
4832,analyzing notice of motion re: injunction
4833,briefing motion record re: enforcing foreign judgment
4834,preparing order re: enforcing foreign judgment
4835,researching factum re: disqualifying expert
4836,writing factum re: disqualifying expert
4837,analyzing affidavit re: summary judgment
4838,editing affidavit re: motion to strike
4839,reviewing analysis re: motion to strike
4840,revising analysis re: disqualifying expert
4841,preparing notice of motion re: enforcing foreign judgment
4842,drafting order re: enforcing foreign judgment
4843,proofing memorandum re: enforcing foreign judgment
4844,preparing memorandum re: disqualifying expert
4845,proofing compendium re: enforcing foreign judgment
4846,revising motion record re: refusals
4847,revising memorandum re: refusals
4848,editing memorandum re: injunction
4849,proofing book of authority re: injunction
4850,writing affidavit re: disqualifying expert
4851,reviewing compendium re: injunction
4852,proofing memorandum re: motion to strike
4853,briefing memo re: summary judgment
4854,drafting notice of motion re: summary judgment
4855,editing affidavit re: motion to strike
4856,revising order re: summary judgment
4857,researching order re: summary judgment
4858,reviewing motion record re: enforcing foreign judgment
4859,writing order re: enforcing foreign judgment
4860,editing memorandum re: motion to strike
4861,editing notice of motion re: disqualifying expert
4862,editing motion record re: summary judgment
4863,editing compendium re: refusals
4864,reviewing compendium re: disqualifying expert
4865,researching compendium re: injunction
4866,reviewing factum re: refusals
4867,reviewing order re: refusals
4868,reviewing analysis re: enforcing foreign judgment
4869,researching memo re: summary judgment
4870,revising affidavit re: motion to strike
4871,briefing affidavit re: disqualifying expert
4872,revising affidavit re: enforcing foreign judgment
4873,analyzing notice of motion re: motion to strike
4874,writing order re: summary judgment
4875,preparing memorandum re: enforcing foreign judgment
4876,writing order re: summary judgment
4877,analyzing analysis re: summary judgment
4878,reviewing book of authority re: motion to strike
4879,editing book of authority re: enforcing foreign judgment
4880,writing memo re: disqualifying expert
4881,writing factum re: injunction
4882,revising memorandum re: disqualifying expert
4883,revising affidavit re: summary judgment
4884,analyzing book of authority re: enforcing foreign judgment
4885,revising memo re: enforcing foreign judgment
4886,researching order re: motion to strike
4887,editing memorandum re: summary judgment
4888,proofing memorandum re: injunction
4889,drafting analysis re: refusals
4890,revising memorandum re: enforcing foreign judgment
4891,editing compendium re: summary judgment
4892,revising order re: disqualifying expert
4893,proofing order re: summary judgment
4894,preparing order re: summary judgment
4895,reviewing factum re: motion to strike
4896,writing memo re: injunction
4897,preparing affidavit re: motion to strike
4898,preparing book of authority re: injunction
4899,preparing compendium re: injunction
4900,proofing order re: refusals
4901,proofing analysis re: injunction
4902,researching notice of motion re: motion to strike
4903,briefing order re: injunction
4904,writing order re: disqualifying expert
4905,analyzing memorandum re: summary judgment
4906,revising factum re: enforcing foreign judgment
4907,analyzing affidavit re: injunction
4908,researching memorandum re: enforcing foreign judgment
4909,revising motion record re: summary judgment
4910,preparing factum re: injunction
4911,reviewing notice of motion re: refusals
4912,editing memorandum re: summary judgment
4913,preparing notice of motion re: enforcing foreign judgment
4914,briefing memorandum re: disqualifying expert
4915,briefing memorandum re: motion to strike
4916,researching motion record re: injunction
4917,reviewing book of authority re: disqualifying expert
4918,analyzing order re: enforcing foreign judgment
4919,writing notice of motion re: enforcing foreign judgment
4920,revising motion record re: injunction
4921,preparing compendium re: disqualifying expert
4922,writing notice of motion re: motion to strike
4923,revising book of authority re: motion to strike
4924,briefing affidavit re: refusals
4925,drafting book of authority re: injunction
4926,revising order re: injunction
4927,writing factum re: refusals
4928,drafting compendium re: summary judgment
4929,reviewing compendium re: motion to strike
4930,preparing notice of motion re: refusals
4931,writing analysis re: summary judgment
4932,researching motion record re: disqualifying expert
4933,reviewing affidavit re: summary judgment
4934,reviewing memorandum re: summary judgment
4935,researching analysis re: refusals
4936,preparing notice of motion re: refusals
4937,writing compendium re: injunction
4938,revising analysis re: injunction
4939,drafting book of authority re: refusals
4940,writing memo re: motion to strike
4941,briefing analysis re: disqualifying expert
4942,preparing notice of motion re: disqualifying expert
4943,drafting factum re: disqualifying expert
4944,proofing book of authority re: motion to strike
4945,writing compendium re: summary judgment
4946,drafting motion record re: enforcing foreign judgment
4947,researching motion record re: injunction
4948,researching affidavit re: refusals
4949,writing memorandum re: disqualifying expert
4950,editing notice of motion re: refusals
4951,researching motion record re: summary judgment
4952,editing affidavit re: motion to strike
4953,reviewing notice of motion re: enforcing foreign judgment
4954,writing book of authority re: enforcing foreign judgment
4955,drafting compendium re: enforcing foreign judgment
4956,writing memo re: refusals
4957,revising memo re: injunction
4958,researching factum re: summary judgment
4959,drafting affidavit re: refusals
4960,reviewing factum re: motion to strike
4961,analyzing memorandum re: enforcing foreign judgment
4962,analyzing compendium re: injunction
4963,reviewing memo re: injunction
4964,revising affidavit re: motion to strike
4965,writing compendium re: motion to strike
4966,analyzing notice of motion re: enforcing foreign judgment
4967,analyzing order re: enforcing foreign judgment
4968,analyzing order re: refusals
4969,preparing memo re: refusals
4970,researching analysis re: enforcing foreign judgment
4971,writing memorandum re: summary judgment
4972,reviewing compendium re: refusals
4973,preparing notice of motion re: refusals
4974,reviewing compendium re: disqualifying expert
4975,preparing motion record re: refusals
4976,writing notice of motion re: motion to strike
4977,proofing order re: motion to strike
4978,researching factum re: refusals
4979,briefing analysis re: enforcing foreign judgment
4980,writing factum re: injunction
4981,analyzing order re: disqualifying expert
4982,reviewing motion record re: motion to strike
4983,writing memo re: summary judgment
4984,preparing memo re: motion to strike
4985,briefing compendium re: refusals
4986,researching order re: summary judgment
4987,researching analysis re: summary judgment
4988,editing order re: refusals
4989,editing factum re: refusals
4990,drafting factum re: disqualifying expert
4991,editing book of authority re: injunction
4992,writing order re: motion to strike
4993,analyzing analysis re: disqualifying expert
4994,writing order re: enforcing foreign judgment
4995,briefing analysis re: disqualifying expert
4996,drafting notice of motion re: enforcing foreign judgment
4997,reviewing motion record re: motion to strike
4998,proofing analysis re: enforcing foreign judgment
4999,preparing order re: disqualifying expert
5000,editing book of authority re: disqualifying expert
5001,writing memo re: refusals
5002,proofing memorandum re: summary judgment
5003,drafting book of authority re: disqualifying expert
5004,reviewing affidavit re: summary judgment
5005,drafting notice of motion re: refusals
5006,proofing factum re: motion to strike
5007,reviewing motion record re: refusals
5008,preparing affidavit re: motion to strike
5009,analyzing memo re: refusals
5010,analyzing motion record re: refusals
5011,proofing notice of motion re: injunction
5012,proofing analysis re: refusals
5013,writing notice of motion re: refusals
5014,drafting factum re: enforcing foreign judgment
5015,editing notice of motion re: enforcing foreign judgment
5016,briefing affidavit re: motion to strike
5017,editing factum re: disqualifying expert
5018,proofing analysis re: injunction
5019,editing book of authority re: disqualifying expert
5020,revising motion record re: summary judgment
5021,reviewing memorandum re: disqualifying expert
5022,editing motion record re: enforcing foreign judgment
5023,preparing compendium re: summary judgment
5024,reviewing analysis re: enforcing foreign judgment
5025,proofing compendium re: enforcing foreign judgment
5026,drafting compendium re: summary judgment
5027,briefing notice of motion re: injunction
5028,analyzing affidavit re: motion to strike
5029,writing analysis re: motion to strike
5030,analyzing memorandum re: disqualifying expert
5031,drafting memo re: refusals
5032,analyzing book of authority re: enforcing foreign judgment
5033,briefing motion record re: disqualifying expert
5034,briefing book of authority re: motion to strike
5035,revising book of authority re: disqualifying expert
5036,briefing memo re: motion to strike
5037,writing book of authority re: refusals
5038,proofing analysis re: refusals
5039,researching factum re: motion to strike
5040,preparing analysis re: enforcing foreign judgment
5041,editing motion record re: disqualifying expert
5042,reviewing notice of motion re: refusals
5043,researching memo re: enforcing foreign judgment
5044,analyzing factum re: disqualifying expert
5045,briefing book of authority re: summary judgment
5046,proofing affidavit re: motion to strike
5047,drafting memorandum re: disqualifying expert
5048,revising book of authority re: refusals
5049,researching analysis re: enforcing foreign judgment
5050,researching motion record re: injunction
5051,researching notice of motion re: enforcing foreign judgment
5052,editing factum re: enforcing foreign judgment
5053,briefing memorandum re: enforcing foreign judgment
5054,editing memo re: summary judgment
5055,preparing memo re: refusals
5056,proofing analysis re: motion to strike
5057,revising book of authority re: disqualifying expert
5058,revising affidavit re: injunction
5059,drafting memo re: enforcing foreign judgment
5060,editing notice of motion re: summary judgment
5061,drafting notice of motion re: motion to strike
5062,editing order re: enforcing foreign judgment
5063,writing motion record re: summary judgment
5064,drafting book of authority re: disqualifying expert
5065,briefing factum re: motion to strike
5066,revising order re: motion to strike
5067,researching factum re: injunction
5068,proofing memo re: motion to strike
5069,drafting analysis re: summary judgment
5070,briefing book of authority re: summary judgment
5071,preparing memorandum re: summary judgment
5072,editing memorandum re: disqualifying expert
5073,revising book of authority re: motion to strike
5074,briefing book of authority re: motion to strike
5075,drafting motion record re: summary judgment
5076,revising compendium re: injunction
5077,reviewing affidavit re: disqualifying expert
5078,drafting memo re: refusals
5079,drafting memo re: refusals
5080,editing analysis re: refusals
5081,researching book of authority re: summary judgment
5082,briefing analysis re: injunction
5083,analyzing factum re: disqualifying expert
5084,editing compendium re: motion to strike
5085,researching analysis re: injunction
5086,proofing notice of motion re: refusals
5087,proofing memo re: enforcing foreign judgment
5088,drafting memo re: injunction
5089,researching analysis re: refusals
5090,writing factum re: refusals
5091,proofing memo re: motion to strike
5092,briefing motion record re: disqualifying expert
5093,proofing book of authority re: disqualifying expert
5094,reviewing memorandum re: refusals
5095,analyzing motion record re: disqualifying expert
5096,drafting factum re: enforcing foreign judgment
5097,reviewing notice of motion re: refusals
5098,revising compendium re: motion to strike
5099,briefing factum re: refusals
5100,reviewing order re: injunction
5101,proofing analysis re: summary judgment
5102,preparing compendium re: refusals
5103,preparing compendium re: injunction
5104,drafting order re: disqualifying expert
5105,reviewing memo re: disqualifying expert
5106,proofing order re: motion to strike
5107,writing motion record re: disqualifying expert
5108,revising analysis re: injunction
5109,preparing motion record re: disqualifying expert
